,row,CUI Part,CUI Series,status,RECOM series,RECOM Series matches,vin_min,vin_max,vout_1,vout_2,isolation,num_outputs,RECOM_Artikelnummer,RECOM_Bezeichnung 1,RECOM_Inputvoltage,RECOM_Outputvoltage,RECOM_Isolation,RECOM_ProductgroupBezeichnung,score
45,37,P78A05-0500,p78a-0500,,R-78E-0.5,11,7.0,28.0,5.0,,0.0,1.0,80000265,R-78E5.0-0.5/X9,7-28,5.0,,R-78E-0.5,4.0
46,38,P78A05-1000,p78a-1000,,R-78E-1.0,6,8.0,28.0,5.0,,0.0,1.0,80000194,R-78E5.0-1.0,8-28,5.0,,R-78E-1.0,4.0
47,38,P78A05-1000,p78a-1000,,R-78E-1.0,6,8.0,28.0,5.0,,0.0,1.0,80000217,R-78E5.0-1.0/X0,8-28,5.0,,R-78E-1.0,4.0
48,38,P78A05-1000,p78a-1000,,R-78E-1.0,6,8.0,28.0,5.0,,0.0,1.0,80000259,R-78E5.0-1.0/X9,8-28,5.0,,R-78E-1.0,4.0
49,157,VHK150W-Q24-S28,vhk150w,,REC150H-UW,6,9.0,36.0,28.0,,1500.0,1.0,21000492,REC150H-4828SUW,9-75,28,2.5KV,REC150H-UW,2.0
50,158,VQE50W-Q24-S48,vqe50w,,RP75H-RW,64,9.0,36.0,48.0,,1500.0,1.0,30004463,RP75H-2448SRW/P,9-36,48,2.25KV,RP75H-RW,4.0
51,158,VQE50W-Q24-S48,vqe50w,,RP75H-RW,64,9.0,36.0,48.0,,1500.0,1.0,30004458,RP75H-2448SRW/N-HC,9-36,48,2.25KV,RP75H-RW,4.0
52,158,VQE50W-Q24-S48,vqe50w,,RP75H-RW,64,9.0,36.0,48.0,,1500.0,1.0,30004453,RP75H-2448SRW/N,9-36,48,2.25KV,RP75H-RW,4.0
53,158,VQE50W-Q24-S48,vqe50w,,RP75H-RW,64,9.0,36.0,48.0,,1500.0,1.0,30004468,RP75H-2448SRW/P-HC,9-36,48,2.25KV,RP75H-RW,4.0
54,159,VQE50W-Q24-S24,vqe50w,,RP75H-RW,64,9.0,36.0,24.0,,1500.0,1.0,30004457,RP75H-2424SRW/N-HC,9-36,24,2.25KV,RP75H-RW,4.0
55,159,VQE50W-Q24-S24,vqe50w,,RP75H-RW,64,9.0,36.0,24.0,,1500.0,1.0,30004462,RP75H-2424SRW/P,9-36,24,2.25KV,RP75H-RW,4.0
56,159,VQE50W-Q24-S24,vqe50w,,RP75H-RW,64,9.0,36.0,24.0,,1500.0,1.0,30004467,RP75H-2424SRW/P-HC,9-36,24,2.25KV,RP75H-RW,4.0
57,159,VQE50W-Q24-S24,vqe50w,,RP75H-RW,64,9.0,36.0,24.0,,1500.0,1.0,30004452,RP75H-2424SRW/N,9-36,24,2.25KV,RP75H-RW,4.0
58,159,VQE50W-Q24-S24,vqe50w,,RP75H-RW,64,9.0,36.0,24.0,,1500.0,1.0,21000408,KES-RP75H-2424SRW/P,9-36,24,2.25KV,KES-RP75H-RW,4.0
59,160,VQE50W-Q24-S15,vqe50w,,RP75H-RW,64,9.0,36.0,15.0,,1500.0,1.0,30004466,RP75H-2415SRW/P-HC,9-36,15,2.25KV,RP75H-RW,4.0
60,160,VQE50W-Q24-S15,vqe50w,,RP75H-RW,64,9.0,36.0,15.0,,1500.0,1.0,30004456,RP75H-2415SRW/N-HC,9-36,15,2.25KV,RP75H-RW,4.0
61,160,VQE50W-Q24-S15,vqe50w,,RP75H-RW,64,9.0,36.0,15.0,,1500.0,1.0,30004461,RP75H-2415SRW/P,9-36,15,2.25KV,RP75H-RW,4.0
62,160,VQE50W-Q24-S15,vqe50w,,RP75H-RW,64,9.0,36.0,15.0,,1500.0,1.0,30004451,RP75H-2415SRW/N,9-36,15,2.25KV,RP75H-RW,4.0
63,161,VQE50W-Q24-S12,vqe50w,,RP75H-RW,64,9.0,36.0,12.0,,1500.0,1.0,30004460,RP75H-2412SRW/P,9-36,12,2.25KV,RP75H-RW,4.0
64,161,VQE50W-Q24-S12,vqe50w,,RP75H-RW,64,9.0,36.0,12.0,,1500.0,1.0,30004465,RP75H-2412SRW/P-HC,9-36,12,2.25KV,RP75H-RW,4.0
65,161,VQE50W-Q24-S12,vqe50w,,RP75H-RW,64,9.0,36.0,12.0,,1500.0,1.0,30004450,RP75H-2412SRW/N,9-36,12,2.25KV,RP75H-RW,4.0
66,161,VQE50W-Q24-S12,vqe50w,,RP75H-RW,64,9.0,36.0,12.0,,1500.0,1.0,30004455,RP75H-2412SRW/N-HC,9-36,12,2.25KV,RP75H-RW,4.0
67,162,VQE50W-Q24-S5,vqe50w,,RP75H-RW,64,9.0,36.0,5.0,,1500.0,1.0,30004459,RP75H-2405SRW/P,9-36,05,2.25KV,RP75H-RW,4.0
68,162,VQE50W-Q24-S5,vqe50w,,RP75H-RW,64,9.0,36.0,5.0,,1500.0,1.0,30004464,RP75H-2405SRW/P-HC,9-36,05,2.25KV,RP75H-RW,4.0
69,162,VQE50W-Q24-S5,vqe50w,,RP75H-RW,64,9.0,36.0,5.0,,1500.0,1.0,30004454,RP75H-2405SRW/N-HC,9-36,05,2.25KV,RP75H-RW,4.0
70,162,VQE50W-Q24-S5,vqe50w,,RP75H-RW,64,9.0,36.0,5.0,,1500.0,1.0,30004449,RP75H-2405SRW/N,9-36,05,2.25KV,RP75H-RW,4.0
