,row,CUI Part,status,RECOM series,candidates,vin_min,vin_max,vout_1,vout_2,isolation_vac,# full matches,RECOM_Artikelnummer,RECOM_Bezeichnung 1,RECOM_Inputvoltage,RECOM_Outputvoltage,RECOM_Isolation,RECOM_ProductgroupBezeichnung,score
30,90,VOF-S25B-12,matched 5,RAC20-K,24 RECOM candidates,90.0,264.0,12.0,,3000.0,5 of 24,20001494,RAC20-12SK/OVG,85-264,12,3KV,RAC20-K,5.0
31,90,VOF-S25B-12,matched 5,RAC20-K,24 RECOM candidates,90.0,264.0,12.0,,3000.0,5 of 24,20001253,RAC20-12SK/X6,85-264,12,4KV,RAC20-K,4.0
32,96,VOF-S60C-5,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,5.0,,3000.0,9 of 65,21000365,RACM60-05SK/OF,80-264,05,4.2KV,RACM60-K,2.0
33,96,VOF-S60C-5,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,5.0,,3000.0,9 of 65,20001347,RACM60-05SK/OF-CTN,80-264,05,4.2KV,RACM60-K,2.0
34,96,VOF-S60C-5,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,5.0,,3000.0,9 of 65,21000383,RACM60-05SK/OF/PCB-T,80-264,05,4.2KV,RACM60-K,2.0
35,96,VOF-S60C-5,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,5.0,,3000.0,9 of 65,20001279,RACM60-05SK/OF/2x4,80-264,05,4.2KV,RACM60-K,2.0
36,96,VOF-S60C-5,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,5.0,,3000.0,9 of 65,20001353,RACM60-05SK/OF/2x4-CTN,80-264,05,4.2KV,RACM60-K,2.0
37,96,VOF-S60C-5,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,5.0,,3000.0,9 of 65,20001285,RACM60-05SK/ENC,80-264,05,4.2KV,RACM60-K,2.0
38,96,VOF-S60C-5,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,5.0,,3000.0,9 of 65,20001291,RACM60-05SK/ENC/2x4,80-264,05,4.2KV,RACM60-K,2.0
39,96,VOF-S60C-5,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,5.0,,3000.0,9 of 65,20001408,RACM60-05SK/MB/2x4,80-264,05,4.2KV,RACM60-K,2.0
40,96,VOF-S60C-5,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,5.0,,3000.0,9 of 65,20001326,RACM60-05SK/277/OF-T,80-305,05,4.2KV,RACM60-K,0.0
41,114,VOF-50B-24,matched 12,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,3000.0,12 of 65,21000368,RACM60-24SK/OF,80-264,24,4.2KV,RACM60-K,2.0
42,114,VOF-50B-24,matched 12,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,3000.0,12 of 65,20001350,RACM60-24SK/OF-CTN,80-264,24,4.2KV,RACM60-K,2.0
43,114,VOF-50B-24,matched 12,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,3000.0,12 of 65,21000386,RACM60-24SK/OF/PCB-T,80-264,24,4.2KV,RACM60-K,2.0
44,114,VOF-50B-24,matched 12,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,3000.0,12 of 65,20001282,RACM60-24SK/OF/2x4,80-264,24,4.2KV,RACM60-K,2.0
45,114,VOF-50B-24,matched 12,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,3000.0,12 of 65,20001323,RACM60-24SK/OF/2x4/6P,80-264,24,4.2KV,RACM60-K,2.0
46,114,VOF-50B-24,matched 12,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,3000.0,12 of 65,20001324,RACM60-24SK/OF/2x4/6P-WH,80-264,24,4.2KV,RACM60-K,2.0
47,114,VOF-50B-24,matched 12,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,3000.0,12 of 65,20001356,RACM60-24SK/OF/2x4-CTN,80-264,24,4.2KV,RACM60-K,2.0
48,114,VOF-50B-24,matched 12,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,3000.0,12 of 65,20001288,RACM60-24SK/ENC,80-264,24,4.2KV,RACM60-K,2.0
49,114,VOF-50B-24,matched 12,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,3000.0,12 of 65,20001294,RACM60-24SK/ENC/2x4,80-264,24,4.2KV,RACM60-K,2.0
50,114,VOF-50B-24,matched 12,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,3000.0,12 of 65,20001729,RACM60-24SK/ENC/2x4/DIN,80-264,24,4.2KV,RACM60-K,2.0
51,114,VOF-50B-24,matched 12,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,3000.0,12 of 65,20001411,RACM60-24SK/MB/2x4,80-264,24,4.2KV,RACM60-K,2.0
52,114,VOF-50B-24,matched 12,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,3000.0,12 of 65,20001329,RACM60-24SK/277/OF-T,80-305,24,4.2KV,RACM60-K,0.0
